seed,rows,columns,method,iter,time,of
7,9,9,N21,1000,139.37488842010498,176715.0
7,9,9,12N,1000,94.98751139640808,181395.0
8,9,9,solver,-1,622.5034554004669,97666.0
8,9,9,random,1000,12.493492603302002,219809.0
8,9,9,PDFT1,1000,12.200000524520874,151833.0
8,9,9,PDFT2,1000,8.29097032546997,440577.0
8,9,9,N21,1000,138.14529728889465,176715.0
8,9,9,12N,1000,101.2632565498352,190399.0
9,9,9,solver,-1,622.5034554004669,97666.0
9,9,9,random,1000,12.075218200683594,204743.0
9,9,9,PDFT1,1000,12.462563037872314,159209.0
9,9,9,PDFT2,1000,8.33571982383728,440577.0
9,9,9,N21,1000,137.92549872398376,179744.0
9,9,9,12N,1000,97.9910237789154,210701.0
0,9,9,solver,-1,622.5034554004669,97666.0
0,9,9,random,5000,61.56930351257324,212785.0
0,9,9,PDFT1,5000,61.64190721511841,141422.0
0,9,9,PDFT2,5000,41.891077756881714,131688.0
0,9,9,N21,5000,691.8655872344971,176715.0
0,9,9,12N,5000,490.99757504463196,193706.0
1,9,9,solver,-1,622.5034554004669,97666.0
1,9,9,random,5000,60.656689167022705,212830.0
1,9,9,PDFT1,5000,62.4092071056366,155301.0
1,9,9,PDFT2,5000,41.80417585372925,126917.0
1,9,9,N21,5000,689.6629099845886,176715.0
1,9,9,12N,5000,461.87078499794006,196561.0
2,9,9,solver,-1,622.5034554004669,97666.0
2,9,9,random,5000,61.35082149505615,199852.0
2,9,9,PDFT1,5000,61.77956247329712,148374.0
2,9,9,PDFT2,5000,41.643285274505615,125069.0
2,9,9,N21,5000,695.1071979999542,176715.0
2,9,9,12N,5000,495.7704520225525,198443.0
3,9,9,solver,-1,622.5034554004669,97666.0
3,9,9,random,5000,60.59149217605591,211963.0
3,9,9,PDFT1,5000,61.692456007003784,149359.0
3,9,9,PDFT2,5000,41.92227745056152,152609.0
3,9,9,N21,5000,695.544264793396,176715.0
3,9,9,12N,5000,487.24346351623535,179282.0
4,9,9,solver,-1,622.5034554004669,97666.0
4,9,9,random,5000,61.43531894683838,217143.0
4,9,9,PDFT1,5000,61.54066705703735,148998.0
4,9,9,PDFT2,5000,42.10171866416931,147467.0
4,9,9,N21,5000,693.4916017055511,176715.0
4,9,9,12N,5000,469.96432614326477,183196.0
5,9,9,solver,-1,622.5034554004669,97666.0
5,9,9,random,5000,61.11629366874695,208418.0
5,9,9,PDFT1,5000,61.311540603637695,148504.0
5,9,9,PDFT2,5000,41.93694853782654,135326.0
5,9,9,N21,5000,692.0220017433167,176715.0
5,9,9,12N,5000,494.72580432891846,189290.0
6,9,9,solver,-1,622.5034554004669,97666.0
6,9,9,random,5000,60.510714292526245,207390.0
6,9,9,PDFT1,5000,61.2946720123291,145040.0
6,9,9,PDFT2,5000,41.65801119804382,134246.0
6,9,9,N21,5000,691.2151203155518,176715.0
6,9,9,12N,5000,487.4451630115509,183120.0
7,9,9,solver,-1,622.5034554004669,97666.0
7,9,9,random,5000,60.338987827301025,206945.0
7,9,9,PDFT1,5000,63.10283017158508,146729.0
7,9,9,PDFT2,5000,42.05650281906128,141124.0
7,9,9,N21,5000,697.8064014911652,176715.0
7,9,9,12N,5000,498.5917625427246,196550.0
8,9,9,solver,-1,622.5034554004669,97666.0
8,9,9,random,5000,60.80418920516968,210617.0
8,9,9,PDFT1,5000,61.44259214401245,144973.0
8,9,9,PDFT2,5000,41.6526198387146,123477.0
8,9,9,N21,5000,693.0045914649963,176715.0
8,9,9,12N,5000,502.5380163192749,199406.0
9,9,9,solver,-1,622.5034554004669,97666.0
9,9,9,random,5000,60.429872274398804,204743.0
9,9,9,PDFT1,5000,61.25830960273743,148107.0
9,9,9,PDFT2,5000,41.77185034751892,125666.0
9,9,9,N21,5000,689.4598424434662,176715.0
9,9,9,12N,5000,470.0522093772888,194024.0
0,9,9,solver,-1,622.5034554004669,97666.0
0,9,9,random,10000,121.20771956443787,198951.0
0,9,9,PDFT1,10000,123.60139679908752,147204.0
0,9,9,PDFT2,10000,83.74673366546631,123765.0
0,9,9,N21,10000,1389.5833303928375,176715.0
0,9,9,12N,10000,995.70565533638,187684.0
1,9,9,solver,-1,622.5034554004669,97666.0
1,9,9,random,10000,121.63053822517395,203301.0
1,9,9,PDFT1,10000,123.17248058319092,141119.0
1,9,9,PDFT2,10000,83.62026596069336,129662.0
1,9,9,N21,10000,1386.348150730133,176715.0
1,9,9,12N,10000,928.4893915653229,184446.0
2,9,9,solver,-1,622.5034554004669,97666.0
2,9,9,random,10000,123.10780596733093,199852.0
2,9,9,PDFT1,10000,122.79148030281067,132469.0
2,9,9,PDFT2,10000,83.66040015220642,143451.0
2,9,9,N21,10000,1408.3572058677673,176715.0
2,9,9,12N,10000,1038.8890125751495,188246.0
3,9,9,solver,-1,622.5034554004669,97666.0
3,9,9,random,10000,129.35935044288635,207932.0
3,9,9,PDFT1,10000,129.20873379707336,144200.0
3,9,9,PDFT2,10000,87.04724645614624,134970.0
3,9,9,N21,10000,1459.4164588451385,176715.0
3,9,9,12N,10000,1025.8010988235474,182179.0
4,9,9,solver,-1,622.5034554004669,97666.0
4,9,9,random,10000,130.31865406036377,207980.0
4,9,9,PDFT1,10000,126.21581387519836,144221.0
4,9,9,PDFT2,10000,87.37675380706787,129388.0
4,9,9,N21,10000,1442.4930276870728,176715.0
4,9,9,12N,10000,993.3948037624359,190337.0
5,9,9,solver,-1,622.5034554004669,97666.0
5,9,9,random,10000,131.97817730903625,208418.0
5,9,9,PDFT1,10000,134.91804718971252,148848.0
5,9,9,PDFT2,10000,89.16959738731384,127545.0
5,9,9,N21,10000,1442.354722738266,176715.0
5,9,9,12N,10000,1057.6692163944244,183615.0
6,9,9,solver,-1,622.5034554004669,97666.0
6,9,9,random,10000,125.01669263839722,207390.0
6,9,9,PDFT1,10000,128.17634463310242,139587.0
6,9,9,PDFT2,10000,88.11455535888672,134281.0
6,9,9,N21,10000,1472.2441582679749,176715.0
6,9,9,12N,10000,1075.541519165039,189253.0
7,9,9,solver,-1,622.5034554004669,97666.0
7,9,9,random,10000,135.09620332717896,206945.0
7,9,9,PDFT1,10000,133.53580927848816,142201.0
7,9,9,PDFT2,10000,91.89019846916199,145208.0
7,9,9,N21,10000,2233.1762702465057,176715.0
7,9,9,12N,10000,1045.1866688728333,196826.0
8,9,9,solver,-1,622.5034554004669,97666.0
8,9,9,random,10000,129.2516815662384,196563.0
8,9,9,PDFT1,10000,130.0238926410675,141759.0
8,9,9,PDFT2,10000,88.42635250091553,124127.0
8,9,9,N21,10000,1440.2735478878021,176715.0
8,9,9,12N,10000,1016.9819669723511,194306.0
9,9,9,solver,-1,622.5034554004669,97666.0
9,9,9,random,10000,127.61799359321594,204743.0
9,9,9,PDFT1,10000,128.39324140548706,135195.0
9,9,9,PDFT2,10000,89.74397778511047,146259.0
9,9,9,N21,10000,1439.8922410011292,176715.0
9,9,9,12N,10000,1022.7836902141571,189759.0
0,9,9,solver,-1,635.3225939273834,97666.0
