seed,rows,columns,method,iter,time,of
0,8,7,12N,1000,72.96329092979431,110455.0
0,8,8,solver,-1,81.29167532920837,63722.0
0,8,8,random,1000,12.984757661819458,147548.0
0,8,8,PDF,1000,17.870593309402466,94634.0
0,8,8,BIC,1000,15.85481882095337,92555.0
0,8,8,N21,1000,120.30813694000244,130742.0
0,8,8,12N,1000,101.36128664016724,128060.0
0,8,9,solver,-1,157.3771312236786,79366.0
0,8,9,random,1000,15.145374536514282,173257.0
0,8,9,PDF,1000,15.860172271728516,133806.0
0,8,9,BIC,1000,12.033024787902832,381937.0
0,8,9,N21,1000,135.26888394355774,180664.0
0,8,9,12N,1000,97.96343302726746,169537.0
0,9,3,solver,-1,1.9128913879394531,37317.0
0,9,3,random,1000,2.9487833976745605,65936.0
0,9,3,PDF,1000,4.735450267791748,42516.0
0,9,3,BIC,1000,6.126785039901733,39192.0
0,9,3,N21,1000,18.00156593322754,76234.0
0,9,3,12N,1000,19.5295352935791,49443.0
0,9,4,solver,-1,33.4599986076355,48103.0
0,9,4,random,1000,6.014733791351318,80340.0
0,9,4,PDF,1000,8.938123941421509,61280.0
0,9,4,BIC,1000,8.652718544006348,54453.0
0,9,4,N21,1000,33.96855664253235,83995.0
0,9,4,12N,1000,34.38692760467529,73544.0
0,9,5,solver,-1,16.730050086975098,47760.0
0,9,5,random,1000,6.916574478149414,105707.0
0,9,5,PDF,1000,9.82215666770935,60822.0
0,9,5,BIC,1000,10.033929347991943,51411.0
0,9,5,N21,1000,53.15086841583252,95216.0
0,9,5,12N,1000,49.14489006996155,86194.0
0,9,6,solver,-1,53.13341999053955,58264.0
0,9,6,random,1000,9.17180848121643,124968.0
0,9,6,PDF,1000,12.181113004684448,77840.0
0,9,6,BIC,1000,11.259011507034302,66978.0
0,9,6,N21,1000,69.47086596488953,107117.0
0,9,6,12N,1000,58.07432436943054,109569.0
0,9,7,solver,-1,112.43423247337341,64809.0
0,9,7,random,1000,11.998456239700317,154617.0
0,9,7,PDF,1000,16.899362802505493,98846.0
0,9,7,BIC,1000,13.033425331115723,76574.0
0,9,7,N21,1000,102.07317090034485,138623.0
0,9,7,12N,1000,73.05064392089844,141102.0
0,9,8,solver,-1,144.7568609714508,78900.0
0,9,8,random,1000,12.65521788597107,182274.0
0,9,8,PDF,1000,16.939417123794556,128110.0
0,9,8,BIC,1000,12.276087045669556,381937.0
0,9,8,N21,1000,130.1380546092987,169874.0
0,9,8,12N,1000,94.62316823005676,160922.0
0,9,9,solver,-1,364.2279546260834,93685.0
0,9,9,random,1000,16.11847424507141,223597.0
0,9,9,PDF,1000,15.4526846408844,137320.0
0,9,9,BIC,1000,12.082921981811523,450516.0
0,9,9,N21,1000,155.21099948883057,203211.0
0,9,9,12N,1000,114.21123909950256,210493.0
