seed,row,column,method,iter,time,of,feseable
24,6,6,solver,8,12.00584459,39501,1
25,6,6,solver,8,13.88191772,33281,1
26,6,6,solver,8,13.59537911,40477,1
27,6,6,solver,8,16.69646358,42858,1
28,6,6,solver,8,6.149930239,42935,1
29,6,6,solver,8,15.52264547,37927,1
0,6,6,solver,9,4.191022396,30310,1
1,6,6,solver,9,3.110963821,41016,1
2,6,6,solver,9,20.31193042,41242,1
3,6,6,solver,9,3.680472374,41642,1
4,6,6,solver,9,6.83498764,41385,1
5,6,6,solver,9,4.118378878,37774,1
6,6,6,solver,9,2.820061207,36957,1
7,6,6,solver,9,7.798887253,42042,1
8,6,6,solver,9,4.760575056,49053,1
9,6,6,solver,9,7.815095425,35699,1
10,6,6,solver,9,5.212831497,32610,1
11,6,6,solver,9,2.334695339,49682,1
12,6,6,solver,9,2.701471567,38181,1
13,6,6,solver,9,5.165716171,32130,1
14,6,6,solver,9,1.96923399,30130,1
15,6,6,solver,9,0.419760227,32192,1
16,6,6,solver,9,2.18474102,33630,1
17,6,6,solver,9,22.05046463,42412,1
18,6,6,solver,9,9.052563667,35612,1
19,6,6,solver,9,39.98479414,50043,1
20,6,6,solver,9,4.425733089,32221,1
21,6,6,solver,9,25.74827528,49160,1
22,6,6,solver,9,4.117786646,36813,1
23,6,6,solver,9,5.830816984,31450,1
24,6,6,solver,9,12.93629336,39501,1
25,6,6,solver,9,14.13973665,33281,1
26,6,6,solver,9,13.57122326,40477,1
27,6,6,solver,9,16.52522969,42858,1
28,6,6,solver,9,5.946089745,42935,1
29,6,6,solver,9,15.38605952,37927,1
0,6,6,solver,10,4.110461712,30310,1
1,6,6,solver,10,2.927291393,41016,1
2,6,6,solver,10,19.69354796,41242,1
3,6,6,solver,10,3.551290751,41642,1
4,6,6,solver,10,6.202754259,41385,1
5,6,6,solver,10,3.968777657,37774,1
6,6,6,solver,10,2.854952335,36957,1
7,6,6,solver,10,7.938428879,42042,1
8,6,6,solver,10,4.90684557,49053,1
9,6,6,solver,10,7.824042559,35699,1
10,6,6,solver,10,5.181504488,32610,1
11,6,6,solver,10,2.215437651,49682,1
12,6,6,solver,10,2.58066678,38181,1
13,6,6,solver,10,5.110041142,32130,1
14,6,6,solver,10,2.064666986,30130,1
15,6,6,solver,10,0.432504892,32192,1
16,6,6,solver,10,2.200690031,33630,1
17,6,6,solver,10,22.44145179,42412,1
18,6,6,solver,10,9.058420658,35612,1
19,6,6,solver,10,40.52915931,50043,1
20,6,6,solver,10,4.422461033,32221,1
21,6,6,solver,10,25.70301819,49160,1
22,6,6,solver,10,4.105000734,36813,1
23,6,6,solver,10,5.805262089,31450,1
24,6,6,solver,10,11.71862316,39501,1
25,6,6,solver,10,13.95683098,33281,1
26,6,6,solver,10,13.58920121,40477,1
27,6,6,solver,10,16.90933156,42858,1
28,6,6,solver,10,5.987522364,42935,1
29,6,6,solver,10,15.8352685,37927,1
0,6,6,solver,11,4.425984144,30310,1
1,6,6,solver,11,3.003125191,41016,1
2,6,6,solver,11,20.32966924,41242,1
3,6,6,solver,11,3.518915176,41642,1
4,6,6,solver,11,6.209180355,41385,1
5,6,6,solver,11,4.086150169,37774,1
6,6,6,solver,11,2.878189564,36957,1
7,6,6,solver,11,7.928388357,42042,1
8,6,6,solver,11,4.781185627,49053,1
9,6,6,solver,11,7.777010202,35699,1
10,6,6,solver,11,5.115192175,32610,1
11,6,6,solver,11,2.165102243,49682,1
12,6,6,solver,11,2.580742836,38181,1
13,6,6,solver,11,5.445734024,32130,1
14,6,6,solver,11,2.016410828,30130,1
15,6,6,solver,11,0.453496933,32192,1
16,6,6,solver,11,2.225043058,33630,1
17,6,6,solver,11,22.59145451,42412,1
18,6,6,solver,11,9.251708984,35612,1
19,6,6,solver,11,40.26623631,50043,1
20,6,6,solver,11,4.396240711,32221,1
21,6,6,solver,11,26.71045661,49160,1
22,6,6,solver,11,4.04842639,36813,1
23,6,6,solver,11,6.09107852,31450,1
24,6,6,solver,11,11.96365643,39501,1
25,6,6,solver,11,13.87331343,33281,1
26,6,6,solver,11,13.89134121,40477,1
27,6,6,solver,11,16.67613268,42858,1
28,6,6,solver,11,6.015202522,42935,1
29,6,6,solver,11,15.56183314,37927,1
0,6,6,solver,12,4.199621201,30310,1
1,6,6,solver,12,2.986778021,41016,1
2,6,6,solver,12,20.38493776,41242,1
3,6,6,solver,12,3.557685137,41642,1
4,6,6,solver,12,6.240654469,41385,1
5,6,6,solver,12,3.974155188,37774,1
6,6,6,solver,12,2.850956917,36957,1
7,6,6,solver,12,7.981348276,42042,1
8,6,6,solver,12,4.783052206,49053,1
9,6,6,solver,12,7.774578571,35699,1
10,6,6,solver,12,5.189826012,32610,1
11,6,6,solver,12,2.150907993,49682,1
12,6,6,solver,12,2.531431437,38181,1
13,6,6,solver,12,5.052078724,32130,1
14,6,6,solver,12,1.937125921,30130,1
15,6,6,solver,12,0.426738024,32192,1
16,6,6,solver,12,2.265292406,33630,1
17,6,6,solver,12,22.12783003,42412,1
18,6,6,solver,12,9.04029417,35612,1
19,6,6,solver,12,40.33300066,50043,1
20,6,6,solver,12,4.504226446,32221,1
21,6,6,solver,12,26.99225688,49160,1
22,6,6,solver,12,4.033196449,36813,1
23,6,6,solver,12,5.80826211,31450,1
24,6,6,solver,12,11.69866371,39501,1
25,6,6,solver,12,14.07788157,33281,1
26,6,6,solver,12,13.63137746,40477,1
27,6,6,solver,12,16.73857498,42858,1
