seed,rows,columns,method,iter,time,of,flagSolver
9,4,4,BIC,1000,2.49265193939209,26480.0,1
9,4,4,N21,1000,6.33223819732666,41942.0,1
9,4,4,12N,1000,7.095533132553101,39559.0,1
0,5,5,solver,-1,1.968362808227539,20803.0,1
0,5,5,random,1000,2.657876491546631,41762.0,1
0,5,5,PDF,1000,2.5728087425231934,24766.0,1
0,5,5,BIC,1000,3.611196517944336,21572.0,1
0,5,5,N21,1000,16.197376012802124,37390.0,1
0,5,5,12N,1000,16.897350788116455,27621.0,1
1,5,5,solver,-1,0.22195196151733398,17681.0,1
1,5,5,random,1000,2.4397647380828857,44495.0,1
1,5,5,PDF,1000,2.853346109390259,20335.0,1
1,5,5,BIC,1000,4.094180345535278,17681.0,1
1,5,5,N21,1000,16.59586000442505,43765.0,1
1,5,5,12N,1000,15.089080810546875,45267.0,1
2,5,5,solver,-1,0.7814435958862305,29497.0,1
2,5,5,random,1000,2.420159101486206,49920.0,1
2,5,5,PDF,1000,2.862189292907715,34124.0,1
2,5,5,BIC,1000,3.9983205795288086,31003.0,1
2,5,5,N21,1000,16.26478600502014,62002.0,1
2,5,5,12N,1000,15.606127738952637,49962.0,1
3,5,5,solver,-1,1.0248351097106934,28486.0,1
3,5,5,random,1000,2.4930174350738525,47688.0,1
3,5,5,PDF,1000,3.263129949569702,30173.0,1
3,5,5,BIC,1000,4.659005641937256,28486.0,1
3,5,5,N21,1000,15.4510178565979,55145.0,1
3,5,5,12N,1000,14.588677644729614,40627.0,1
4,5,5,solver,-1,0.17806625366210938,22665.0,1
4,5,5,random,1000,2.3546390533447266,63246.0,1
4,5,5,PDF,1000,2.383394241333008,29956.0,1
4,5,5,BIC,1000,4.8329737186431885,24909.0,1
4,5,5,N21,1000,15.804532527923584,59391.0,1
4,5,5,12N,1000,15.858318090438843,53660.0,1
5,5,5,solver,-1,0.7355384826660156,26882.0,1
5,5,5,random,1000,2.1781744956970215,63825.0,1
5,5,5,PDF,1000,3.1396706104278564,27575.0,1
5,5,5,BIC,1000,4.353851556777954,26882.0,1
5,5,5,N21,1000,16.242343425750732,64304.0,1
5,5,5,12N,1000,14.07796049118042,47313.0,1
6,5,5,solver,-1,1.5705335140228271,31624.0,1
6,5,5,random,1000,2.5552029609680176,56245.0,1
6,5,5,PDF,1000,3.327470302581787,36209.0,1
6,5,5,BIC,1000,4.769331216812134,31850.0,1
6,5,5,N21,1000,15.542149543762207,52930.0,1
6,5,5,12N,1000,13.89444351196289,48902.0,1
7,5,5,solver,-1,1.100555419921875,27918.0,1
7,5,5,random,1000,2.6743297576904297,49114.0,1
7,5,5,PDF,1000,2.2966771125793457,36111.0,1
7,5,5,BIC,1000,3.973569393157959,29765.0,1
7,5,5,N21,1000,16.321990251541138,56051.0,1
7,5,5,12N,1000,18.180633306503296,40202.0,1
8,5,5,solver,-1,1.3721973896026611,27881.0,1
8,5,5,random,1000,2.395430088043213,51004.0,1
8,5,5,PDF,1000,3.1238179206848145,30205.0,1
8,5,5,BIC,1000,4.531450986862183,27881.0,1
8,5,5,N21,1000,17.173250675201416,52580.0,1
8,5,5,12N,1000,15.41008973121643,45029.0,1
9,5,5,solver,-1,0.900306224822998,23768.0,1
9,5,5,random,1000,2.825955867767334,45486.0,1
9,5,5,PDF,1000,3.9170846939086914,25115.0,1
9,5,5,BIC,1000,4.894592046737671,25115.0,1
9,5,5,N21,1000,13.595129489898682,58705.0,1
9,5,5,12N,1000,13.772351741790771,52495.0,1
0,6,6,solver,-1,2.3972651958465576,30310.0,1
0,6,6,random,1000,3.5115513801574707,77573.0,1
0,6,6,PDF,1000,5.055570125579834,35643.0,1
0,6,6,BIC,1000,6.708190679550171,32554.0,1
0,6,6,N21,1000,29.2103328704834,75277.0,1
0,6,6,12N,1000,28.936866998672485,54366.0,1
1,6,6,solver,-1,1.6481678485870361,41016.0,1
1,6,6,random,1000,3.910503625869751,95254.0,1
1,6,6,PDF,1000,5.340697765350342,49548.0,1
1,6,6,BIC,1000,6.218125104904175,44579.0,1
1,6,6,N21,1000,32.85319781303406,97657.0,1
1,6,6,12N,1000,31.33950185775757,71059.0,1
2,6,6,solver,-1,12.171675443649292,41242.0,1
2,6,6,random,1000,4.535465717315674,73218.0,1
2,6,6,PDF,1000,6.08118200302124,50811.0,1
2,6,6,BIC,1000,6.292348384857178,41809.0,1
2,6,6,N21,1000,31.01512861251831,82544.0,1
2,6,6,12N,1000,30.488433122634888,65283.0,1
3,6,6,solver,-1,1.9679625034332275,41642.0,1
3,6,6,random,1000,3.5494329929351807,91755.0,1
3,6,6,PDF,1000,5.578264236450195,52833.0,1
3,6,6,BIC,1000,6.821821212768555,50755.0,1
3,6,6,N21,1000,31.082134008407593,82806.0,1
3,6,6,12N,1000,28.770961046218872,70101.0,1
4,6,6,solver,-1,3.5478618144989014,41385.0,1
4,6,6,random,1000,3.6130495071411133,82666.0,1
4,6,6,PDF,1000,5.675115585327148,53576.0,1
4,6,6,BIC,1000,6.262922048568726,46015.0,1
4,6,6,N21,1000,32.665223121643066,83502.0,1
4,6,6,12N,1000,28.921944856643677,60390.0,1
